cve_ent,poblacion,nombre,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,13,18,13,10,6,22,12,20,11,8,14,4,21,14,24,19,29,23,17,28,21,26,29,37,39,23,31,42,43,43,32,41,27,48,29,40,56,41,43,32,68,61,80,87,85,63,62,107,113,92,101,113,88,42,92,16,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,0,2,3,8,11,6,8,12,4,8,11,9,13,26,25,18,49,34,28,41,49,27,18,48,54,42,31,31,13,6,15,2,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,20,26,8,22,17,22,22,18,21,32,35,41,23,43,41,34,47,23,30,32,44,40,37,33,30,68,30,32,23,40,38,26,18,22,43,38,28,40,21,18,12,45,36,41,35,39,36,22,25,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,6,3,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,7,3,15,17,9,10,14,14,11,29,17,34,13,26,13,19,31,23,23,33,29,25,14,34,24,37,37,53,20,17,39,1,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,48,48,40,38,30,32,62,46,48,69,74,45,38,74,49,57,61,54,51,29,73,49,82,61,58,49,39,66,80,76,95,89,60,58,132,94,108,103,103,33,17,13,2,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,6,19,9,15,32,15,18,27,22,31,26,61,52,39,38,55,43,28,61,57,94,58,89,49,58,128,87,80,67,35,7,1,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,17,11,15,19,27,30,47,38,44,57,48,41,73,83,63,63,63,41,40,58,58,49,83,50,45,46,83,71,96,105,80,53,63,110,86,115,126,144,85,77,115,101,148,127,127,83,61,70,0,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,5,3,5,9,4,9,13,19,16,28,31,14,8,25,18,28,33,25,38,34,24,40,34,17,29,27,24,38,31,41,41,28,27,20,34,33,39,31,53,44,16,48,36,56,55,26,19,21,3,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,15,9,16,6,24,16,23,17,20,20,15,35,38,37,21,35,29,24,41,47,38,47,41,26,15,47,11,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,3,2,9,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,35,45,30,51,48,45,29,68,75,73,61,66,64,58,95,102,105,115,101,79,68,138,120,128,159,148,119,76,142,136,144,133,116,47,31,27,0,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,8,2,8,2,5,12,13,9,11,4,6,7,17,18,25,12,15,5,6,26,19,22,33,33,24,20,37,42,32,60,26,27,30,48,44,33,37,35,16,26,43,52,59,57,39,31,49,53,50,56,64,51,23,17,29,7,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,0,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,1,6,3,2,7,1,9,2,2,8,5,4,3,4,10,9,4,7,7,2,5,5,11,9,9,4,2,9,3,8,13,8,2,3,4,0,14,6,8,8,5,9,0,0
"000",127792286,"Nacional",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,2,1,0,1,4,2,9,27,28,60,49,36,68,91,99,107,100,66,48,129,164,141,174,210,158,142,305,276,317,299,337,218,223,530,447,514,406,484,404,428,839,837,856,880,1016,723,662,1333,1292,1231,1315,1496,938,921,1659,1666,1657,1636,1246,1264,1142,2316,1878,2051,2117,2133,1305,1202,2586,2504,2651,2557,2839,1669,1333,3193,2825,2916,2802,2408,1033,680,1158,129,13
