cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,14,18,13,10,6,23,12,20,11,8,14,4,22,14,24,19,29,23,17,28,21,27,31,38,40,23,33,42,43,44,35,41,31,47,31,44,60,43,43,34,71,69,86,101,102,74,64,127,126,122,143,170,142,80,166,163,199,166,148,118,58,188,169,189,192,196,118,83,293,211,219,286,269,137,100,344,324,328,266,14,3,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,1,2,3,8,12,6,8,12,4,9,11,9,13,27,27,20,49,34,29,41,50,28,19,49,61,44,33,35,24,12,51,38,35,29,33,28,21,39,49,42,43,38,28,29,50,39,39,30,37,30,19,49,31,32,21,16,3,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,21,26,8,22,17,22,22,18,21,32,34,43,23,44,42,34,47,23,31,32,44,42,38,34,32,69,30,33,23,41,39,26,19,22,45,37,27,40,21,18,13,44,35,44,41,44,38,25,49,32,42,44,46,25,23,46,62,42,39,39,23,29,51,49,57,56,49,27,51,85,61,64,60,57,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,28,17,34,13,26,13,19,32,23,24,33,29,25,15,34,25,39,37,56,20,20,49,39,59,38,50,23,18,50,55,73,78,78,55,49,106,91,81,72,60,29,23,86,91,89,25,9,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,49,47,40,38,31,31,62,46,48,70,74,46,38,78,51,56,64,58,50,30,76,52,83,63,61,52,41,71,85,78,101,98,69,63,139,103,121,117,144,59,78,166,183,193,158,180,130,69,206,171,210,190,211,150,98,210,232,210,209,232,54,20,45,11,6,8,0,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,6,20,9,15,33,15,17,28,23,32,26,62,53,40,38,55,43,28,65,58,94,61,94,53,60,134,95,97,106,123,91,81,183,181,193,200,157,132,112,220,204,213,194,190,102,76,164,173,166,137,77,45,5,4,4,4,1,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,18,11,15,19,27,30,47,38,44,57,48,40,73,84,65,62,65,43,41,59,58,50,84,54,48,46,85,73,96,104,81,53,65,116,87,116,127,145,86,80,123,107,162,142,138,97,82,176,197,222,218,171,103,73,204,160,179,188,175,129,102,279,284,307,260,357,177,99,278,264,231,14,2,0,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,6,3,5,9,4,9,13,19,16,28,31,14,8,25,18,27,33,25,39,34,26,42,35,18,30,30,25,43,33,45,41,29,26,22,38,40,40,33,62,48,17,61,51,69,70,86,64,33,106,111,105,62,95,63,47,120,90,71,89,98,74,61,119,110,152,114,204,111,104,142,160,97,26,1,0,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,15,9,17,6,25,16,23,17,20,20,15,36,39,40,21,36,29,25,43,50,41,48,43,30,16,60,37,38,43,44,40,24,63,45,56,54,46,35,26,66,52,60,48,48,26,28,59,54,63,31,1,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,36,46,30,51,48,44,30,68,74,74,63,66,65,58,95,102,108,119,104,79,69,141,122,133,168,191,132,86,162,151,180,173,174,112,105,210,194,182,180,184,134,112,227,179,194,229,200,110,100,207,219,225,195,180,122,117,286,211,143,29,2,0,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,9,2,9,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,7,26,20,22,34,33,24,20,37,42,31,60,26,28,30,49,44,34,37,36,19,27,45,52,59,58,42,32,49,54,51,57,70,60,34,30,53,55,62,61,47,29,25,58,48,50,44,34,43,34,88,67,74,83,66,41,54,101,91,98,66,44,11,0
