cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,4,2,1,2,5,3,3,7,6,8,2,2,4,1,4,4,13,14,29,10,10,14,10,13,9,12,11,7,26,17,14,16,14,9,11,33,23,29,37,43,27,23,40,53,41,52,38,33,20,55,70,57,61,56,52,21,115,97,106,140,140,89,69,176,168,178,214,169,126,81,194,227,184,198,210,116,83,332,315,323,312,360,173,110,360,362,282,244,278,152,68,243,187,45,8,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,27,29,31,18,13,40,28,52,29,46,36,40,34,33,47,58,47,68,59,50,41,127,108,143,137,129,64,71,137,116,111,111,95,62,77,148,103,115,125,115,85,64,148,100,140,153,138,71,96,138,146,107,101,128,48,66,177,112,84,123,102,75,43,96,32,0,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,18,11,15,19,18,22,18,25,25,28,30,25,21,27,34,29,41,37,33,24,25,52,56,45,67,80,54,26,80,70,77,92,79,52,40,89,71,78,93,73,47,41,94,79,66,63,65,51,29,87,110,76,71,96,45,42,76,71,73,75,84,52,28,72,77,81,78,83,41,36,88,67,66,31,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,8,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,29,16,30,20,25,49,26,28,22,50,39,29,57,65,17,31,53,73,59,61,73,41,38,93,129,139,121,163,126,80,223,194,206,170,216,99,69,253,244,234,218,168,109,87,209,206,194,206,181,125,87,200,201,183,148,180,111,66,102,77,45,5,1
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,15,23,25,27,43,27,18,53,34,50,49,48,34,40,83,72,89,61,91,78,85,153,159,180,188,154,160,154,261,275,247,264,304,195,207,348,338,322,299,272,227,239,487,343,339,433,422,255,239,567,525,567,505,582,346,294,660,557,596,621,654,295,332,749,627,700,644,656,370,315,801,761,877,736,750,385,398,983,754,819,685,670,354,353,774,737,674,612,605,310,225,683,593,602,451,442,148,109,261,151,75,33,11
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,26,24,16,27,43,21,35,29,43,45,26,69,58,101,77,103,44,27,66,66,101,79,95,21,35,119,101,90,112,129,47,46,166,125,147,142,133,74,39,190,194,151,167,191,74,49,202,192,196,165,233,112,41,204,177,154,133,76,42,9,4,3,0,4,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,18,32,29,33,14,30,47,28,43,36,32,29,49,53,48,54,49,42,27,29,61,55,57,39,52,25,25,47,54,45,48,56,23,19,66,73,36,60,49,25,31,61,51,52,46,57,25,19,87,54,53,56,57,38,31,57,53,45,36,53,20,17,33,40,55,26,35,15,17,40,21,15,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,21,11,24,43,33,29,38,23,16,42,41,33,45,57,27,20,49,36,43,46,46,29,33,77,50,49,44,52,44,23,58,55,48,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,27,23,27,27,22,9,39,62,26,24,29,26,21,42,36,67,38,74,30,11,46,39,61,35,51,35,26,79,116,69,64,68,41,21,82,93,72,131,145,78,40,202,148,213,193,240,154,99,272,191,165,221,207,148,96,268,293,269,285,268,179,96,130,67,39,10,3
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,25,34,24,24,22,16,28,54,66,69,67,79,65,18,124,72,74,102,81,83,36,102,80,92,127,122,115,45,152,153,145,187,164,135,53,170,160,165,121,147,159,69,195,153,176,159,130,105,37,170,149,149,107,103,62,57,74,37,1,2,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,2,5,6,7,5,4,2,8,15,6,15,9,13,4,15,21,16,19,14,11,8,24,13,23,12,8,15,5,27,16,28,21,30,25,18,31,22,27,32,39,43,24,36,44,44,46,40,43,38,48,37,49,63,47,48,37,73,72,90,106,104,76,67,128,128,121,145,173,145,81,168,166,201,168,152,119,62,196,178,196,203,206,125,89,308,242,248,305,306,174,142,440,406,429,489,426,209,157,482,397,345,426,285,108,58,69,32,8,6,2
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,5,2,7,9,10,1,2,3,8,12,6,8,12,4,9,10,9,14,26,26,19,47,33,29,41,50,28,18,48,61,42,36,35,22,12,51,37,35,29,33,28,21,39,49,42,40,38,28,27,50,38,37,31,37,34,21,52,39,38,31,28,23,14,47,31,33,34,40,13,14,38,28,25,7,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,3,8,10,9,7,7,3,22,15,24,11,13,8,10,32,23,26,8,22,17,22,22,17,20,31,34,45,23,45,42,34,47,23,31,32,43,42,38,34,32,69,29,33,25,41,39,26,19,22,45,37,27,40,21,18,13,44,35,44,41,44,38,25,49,32,42,44,47,25,22,46,62,43,38,39,22,29,52,49,56,57,50,28,52,89,61,64,67,83,39,53,110,92,81,98,130,57,60,165,128,74,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,28,17,34,13,26,12,19,32,23,24,34,29,25,15,34,26,39,37,56,20,20,49,39,59,38,51,24,19,51,55,77,78,79,59,49,114,92,84,74,61,29,23,89,101,113,91,89,43,40,120,116,111,120,94,84,31,119,72,15,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,46,47,40,38,31,31,61,46,48,67,70,44,36,77,46,54,55,58,48,30,76,50,83,64,59,52,40,69,85,77,98,96,68,64,139,101,120,117,142,59,80,170,181,192,159,180,131,69,207,171,212,191,214,152,102,211,239,222,231,292,89,84,181,199,188,158,167,124,82,193,168,162,105,123,45,31,37,3,1,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,11,15,6,6,5,3,17,8,13,11,12,14,7,7,14,18,7,20,9,15,34,15,17,31,23,32,26,64,54,42,39,57,45,28,71,65,106,74,105,60,60,154,113,110,127,138,117,86,207,210,204,213,165,146,125,236,232,223,225,240,157,107,244,229,221,223,228,143,96,234,224,227,197,210,123,89,228,195,212,176,181,59,46,110,73,28,4,1
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,18,11,15,19,27,30,47,39,44,57,48,40,73,84,65,62,65,43,41,59,58,50,84,54,48,46,85,72,96,104,81,53,65,116,87,116,127,145,86,80,123,107,162,142,138,97,83,176,197,223,221,171,103,73,204,161,178,189,177,131,108,283,291,316,274,366,182,105,308,310,309,316,292,189,102,264,270,282,298,232,170,113,286,29,3,1,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,7,3,5,9,5,9,14,19,16,28,31,14,11,25,19,28,33,26,39,34,26,42,35,18,31,31,25,43,35,45,41,29,26,22,41,48,40,34,62,48,17,63,51,69,70,88,68,34,111,115,106,62,95,68,48,128,97,78,94,101,79,65,134,123,169,122,224,129,114,238,286,186,204,212,177,113,271,274,273,311,299,110,62,50,6,2,1,2
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,6,6,2,5,7,4,7,6,4,10,9,11,7,12,15,21,13,15,25,8,16,9,17,7,25,16,24,17,20,20,16,36,39,39,21,37,30,25,44,50,41,50,43,30,16,61,37,38,44,45,39,25,64,46,58,55,48,35,26,66,52,61,49,50,26,29,61,54,71,55,49,33,28,63,76,71,59,73,15,33,19,25,5,2,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,37,46,30,51,48,44,30,68,74,74,63,66,65,58,95,104,109,120,104,79,70,139,123,132,168,192,132,87,163,150,181,174,174,114,105,211,196,183,179,185,135,112,226,181,196,233,204,109,103,211,219,230,203,188,138,134,327,298,244,254,271,156,134,353,278,260,228,209,98,77,132,23,4,3,1
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,9,2,9,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,7,26,20,22,34,33,24,20,37,42,31,60,26,28,30,49,44,34,37,36,19,27,45,52,59,58,42,32,49,54,51,57,70,60,34,30,53,57,61,60,46,29,25,58,48,50,44,34,44,35,89,68,74,84,67,41,58,104,95,116,100,110,93,88,146,155,172,190,140,96,64,162,132,88,33,1
