"cve_ent","poblacion","nombre","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020"
"10","1868996","DURANGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","2","1","2","1","0","1","6","0","1","3","1","1","1","0","4","2","6","0","1","0","7","13","9","17","19","3","3","5","11","15","20","10","27","11","22","21","15","4","3","1","2","9","16","13","11","4","3","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","4","3","5","3","1","2","3","0","1","0","3","3","1","8","9","2","3","8","10","13","27","25","40","14","46","55","84","87","70","63","18","84","91","77","98","84","30","17","70","71","83","57","54","51","14","60","72","111","94","129","29","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","3","5","2","2","2","0","1","12","6","12","13","16","10","11","28","19","17","19","10","7","4","12","14","14","12","14","7","10","18","12","18","17","17","3","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0","2","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","4","24","1","0","10","16","16","37","34","15","12","22","16","19","16","23","9","6","16","18","16","11","4","2","3","9","9","5","4","6","11","0"
"14","8409693","JALISCO","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","1","2","0","1","0","0","1","0","0","0","0","1","2","1","2","0","0","0","1","2","1","0","0","1","0","2","1","0","7","4","5","3","3","12","8","10","3","8","2","2","3","11","9","14","18","5","14","13","37","46","53","40","31","33","89","98","116","76","123","55","67","108","100","89","92","120","113","81","143","117","103","77","76","78","48","111","80","102","97","104","29","1"
"15","17427790","MEXICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2","4","2","2","9","12","9","4","7","1","5","7","9","12","12","24","15","6","17","42","22","42","30","22","14","63","74","77","78","139","64","64","172","118","124","123","143","95","48","126","156","153","81","111","50","44","190","150","103","72","46","14","6"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","8","1","0","3","4","8","8","7","8","6","11","14","33","19","22","15","10","33","19","30","25","36","22","13","30","23","31","31","22","11","13","38","28","39","68","67","3","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","2","0","1","2","6","8","1","2","11","11","13","11","8","7","14","12","14","17","17","13","13","5","20","15","20","11","10","12","8","21","18","16","6","6","1","0"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","2","1","5","3","5","10","9","10","8","14","8","13","9","5","9","3","14","9","10","9","4","2","4","12","11","11","5","4","1","0"
"19","5610153","NUEVO LEON","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","2","3","1","1","0","0","0","0","1","1","3","3","0","1","6","2","3","5","1","2","1","3","1","1","0","2","3","0","2","4","0","3","8","3","2","9","12","6","7","4","3","3","9","7","9","25","40","14","5","26","43","36","48","42","30","34","60","94","98","54","71","40","37","74","67","90","76","85","45","29","95","110","90","227","201","15","18","32","36","23","27","14","0","0"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","2","0","3","1","3","5","5","7","1","2","4","8","11","23","12","34","6","14","9","20","24","44","24","12","8","15","12","16","7","8","15","6","15","7","7","4","7","2","0"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","4","0","2","1","0","1","0","0","1","0","0","2","12","5","10","5","4","4","17","25","25","34","16","8","26","35","40","39","25","10","21","60","32","22","27","37","18","22","51","47","57","29","17","10","23","71","46","20","20","14","6","1"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","2","1","7","4","3","4","2","9","14","6","16","4","16","20","16","29","21","14","9","22","36","25","20","20","3","4","22","20","11","5","16","9","10","18","11","8","5","8","6","1"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","3","0","0","3","1","0","2","3","0","1","2","1","2","3","4","3","6","11","11","12","13","6","6","6","12","18","24","21","20","7","6","34","27","17","19","17","8","14","15","22","14","13","11","5","6","13","10","9","9","6","5","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","1","0","0","0","0","2","1","4","3","2","13","5","10","2","8","11","14","13","25","39","39","39","53","28","28","39","45","57","47","30","25","17","31","40","50","32","25","20","23","46","47","22","20","21","14","0"
"25","3156674","SINALOA","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","2","1","0","2","0","1","2","1","0","1","2","3","0","3","2","3","4","3","4","12","5","11","5","5","22","38","34","30","38","12","18","40","25","45","35","39","51","17","41","27","42","19","29","21","8","60","34","33","27","24","3","5"
"26","3074745","SONORA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","1","1","1","1","0","1","2","1","0","2","2","0","1","2","8","13","8","7","6","3","10","23","28","21","23","17","12","40","32","34","27","22","15","12","24","27","34","14","22","9","7","35","24","25","22","5","0","0"
"27","2572287","TABASCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","1","0","0","1","2","0","2","0","1","2","1","0","9","5","7","11","18","6","17","35","27","21","8","47","43","36","25","35","18","20","30","30","25","8","3","3","6","13","19","9","17","21","11","0"
"28","3650602","TAMAULIPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","2","0","1","2","0","2","0","3","0","2","2","0","1","0","5","3","5","3","5","10","11","13","12","18","14","6","11","19","23","31","23","26","9","13","23","29","45","15","40","10","22","62","58","71","62","60","48","10"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","0","2","1","1","0","1","0","3","8","6","3","4","8","5","5","13","19","7","7","19","13","21","14","13","4","7","17","18","16","27","19","7","6","50","45","12","8","25","7","0"
"30","8539862","VERACRUZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","2","7","3","4","1","5","2","4","5","0","2","3","2","2","3","9","5","2","6","28","18","14","20","6","2","18","40","47","62","40","20","15","56","62","47","58","41","14","9","51","48","51","21","22","23","13","52","29","15","9","14","5","2"
"31","2259098","YUCATAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","4","2","6","0","1","0","1","1","0","5","2","0","6","5","5","8","13","21","9","11","16","25","13","13","15","17","16","26","23","28","35","32","14","15","21","29","30","16","14","17","18","43","33","23","19","28","7","1"
"32","1666426","ZACATECAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","2","2","3","2","0","1","1","3","7","3","6","7","6","10","25","17","11","9","1","5","10","11","7","29","12","14","6","10","12","21","5","7","5","3","11","13","14","5","0","10","0"
