"cve_ent","poblacion","nombre","31-12-2019","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","2","1","7","4","3","4","2","9","14","6","16","4","17","20","16","29","21","15","9","22","36","25","20","20","3","4","22","20","11","5","20","12","12","25","18","16","11","10","8","11","18","17","9","10","16","9","7","22","16","13","15","12","11","1","3","0"
"23","1723259","QUINTANA ROO","0","0","0","1","0","1","0","2","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","2","0","0","2","0","2","2","2","0","0","0","0","2","4","3","2","0","1","3","0","2","0","0","0","0","0","1","1","4","0","0","0","0","1","0","1","3","0","0","6","1","0","2","3","0","1","2","1","2","3","4","3","6","11","11","12","13","6","6","6","13","20","24","27","22","7","6","36","27","17","21","17","8","14","16","23","16","15","13","11","7","23","13","16","16","9","16","9","15","15","10","8","16","15","5","17","12","18","16","7","3","1","0","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","2","2","0","2","0","2","1","1","2","0","0","1","4","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","5","1","0","0","0","0","2","1","4","3","2","13","5","9","2","8","11","14","13","25","39","39","39","53","28","28","39","45","58","48","32","25","18","31","41","51","32","25","22","23","51","51","28","29","31","27","25","34","35","26","53","62","21","27","48","49","50","55","33","21","14","0","0"
"25","3156674","SINALOA","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","7","4","4","0","0","0","2","3","4","3","4","0","0","2","2","4","1","1","0","1","0","2","1","0","2","1","0","2","0","1","2","1","0","1","2","3","0","3","2","3","4","3","6","13","10","12","5","5","24","38","34","30","38","12","18","40","25","45","36","39","52","16","41","27","43","20","31","24","8","61","39","43","31","35","14","22","31","20","21","26","47","18","17","41","52","23","72","26","14","1","0","0"
"26","3074745","SONORA","0","0","0","1","0","1","2","0","1","0","0","1","0","0","4","3","0","1","0","0","0","1","0","3","0","0","0","1","2","3","4","0","1","0","0","2","1","2","1","0","0","0","3","0","1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","0","2","1","1","1","1","0","1","2","1","0","2","2","0","1","2","9","13","8","7","6","3","10","22","28","21","23","17","13","40","32","34","28","22","15","13","27","28","35","16","24","11","7","38","30","34","33","33","23","24","35","34","38","27","37","13","21","27","25","34","23","13","12","11","0","0"
"27","2572287","TABASCO","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","2","2","1","1","0","1","0","0","1","2","0","2","0","1","2","1","1","9","6","7","11","18","6","17","35","27","21","8","46","46","36","25","35","19","20","30","30","26","9","8","7","8","17","32","21","30","47","23","53","35","46","67","74","82","41","25","63","34","74","48","24","17","10","9","0"
"28","3650602","TAMAULIPAS","0","1","1","0","0","0","0","1","0","1","0","0","0","0","2","2","1","0","1","1","1","1","1","1","4","2","0","1","2","0","0","1","0","0","0","0","0","2","0","0","0","3","1","2","0","1","0","0","1","0","1","0","0","0","0","0","0","1","2","1","0","0","0","2","0","1","2","0","2","0","3","0","2","2","0","2","0","5","3","6","3","5","10","11","13","12","21","14","5","11","19","24","32","24","24","10","14","22","34","46","15","41","11","23","67","65","76","73","76","73","39","108","51","92","90","105","48","47","140","123","116","123","55","53","25","42","0"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","0","2","1","1","0","1","0","3","8","6","3","4","8","5","5","14","19","7","7","19","13","21","15","13","4","7","17","17","16","27","19","8","6","50","47","17","10","30","15","2","21","22","17","21","24","23","9","40","45","16","36","8","26","8","8","0"
"30","8539862","VERACRUZ","0","0","0","0","0","1","2","2","1","1","2","0","1","2","1","1","3","3","0","0","3","1","1","3","6","2","5","3","3","2","5","0","0","0","0","1","1","4","3","1","1","6","3","1","3","4","2","2","0","3","4","3","2","1","0","4","3","1","2","7","3","4","1","6","2","4","5","0","2","3","2","2","3","9","5","2","6","28","18","14","19","6","2","17","40","47","62","40","19","15","56","62","49","59","43","15","9","51","50","52","23","23","25","13","58","60","51","36","51","23","27","75","72","58","71","61","34","19","54","43","40","29","19","7","4","0","0"
"31","2259098","YUCATAN","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","3","4","2","6","0","1","0","1","1","0","5","2","0","6","5","5","8","13","21","9","11","16","26","14","11","15","18","14","27","22","29","35","30","15","14","23","28","30","16","14","18","17","44","35","25","22","34","22","41","42","35","31","47","40","21","9","81","57","96","58","22","14","32","14","0"
"32","1666426","ZACATECAS","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","2","2","3","2","0","1","1","3","7","3","7","7","6","10","25","17","12","9","1","5","10","11","7","29","12","14","6","10","12","22","5","7","5","3","13","13","13","10","7","24","10","22","22","29","23","23","12","37","40","25","18","8","15","8","5","2","0"
